6340
210	あう	25
1905	あがる	14
2483	あきる	15
2039	あける	10
1132	あげる	13
2500	あさい	56
2668	あじ	7
256	あたり	42
2639	あたる	5
1986	あっさり	5
305	あて	11
368	あと	102
1085	あふれる	10
1293	あぶくま	18
1919	あまい	8
586	あまり	44
947	あら	18
574	あり	42
1930	ありがたい	13
0	ある	2531
711	あれ	23
2321	あわせる	22
236	いい	679
180	いう	428
1736	いえる	19
1329	いかが	13
197	いきる	12
345	いく	420
1819	いくつ	10
2440	いくら	21
63	いける	135
1506	いずれ	14
2272	いたす	9
1602	いただき	9
152	いただく	217
884	いただける	45
2755	いち	6
1384	いっぱい	12
1298	いつ	28
597	いつか	9
2064	いづみ	14
1203	いま	15
1455	いや	14
1529	いらっしゃる	5
72	いる	1880
2552	いれる	5
2334	いろいろ	22
783	うぐいす	14
2456	うける	11
168	うすい	35
750	うたい文句	7
2426	うたう	6
1515	うち	62
1923	うってつけ	13
1605	うつくしい	6
2765	うま	5
143	うまい	388
271	うまみ	93
2365	うま味	6
2676	うむ	5
2763	うり	6
740	うれしい	15
2719	うわさ	5
294	える	8
446	おいしい	303
2474	おう	5
1536	おかげ	24
2314	おかしい	6
781	おかず	7
766	おく	64
598	おすすめ	113
2508	おだやか	12
2651	おっしゃる	8
1178	おでん	17
2130	おとなしい	16
1491	おとめ	10
2404	おもう	19
877	おもしろい	12
685	おり	24
1233	おりる	9
514	おる	150
73	おろす	66
2541	おんな	7
1002	お世話	6
1247	お供	8
1847	お正月	8
1346	お気に入り	27
2227	お洒落	6
2051	お目にかかる	5
1550	お目見え	5
1520	お祝い	12
1466	お薦め	24
1330	お話	5
741	お買い得	27
2388	お金	9
2293	お願い	6
1414	かう	15
561	かかる	22
1070	かかれる	5
1644	かかわる	9
2393	かぎろひ	5
680	かける	26
1245	かすか	52
2643	かすみ	7
2378	かた	8
1963	かちよ	9
2477	かつお	6
1389	かな	18
1935	かなう	6
533	かなり	46
1205	かも	10
2514	からむ	5
2453	かわいい	5
2216	かわり	8
2178	かんじる	10
1099	か月	6
1852	がかる	11
1700	がたい	11
2042	がち	31
1234	がらみ	25
721	がる	13
1304	がんばる	14
2578	きき酒	8
1712	きく	18
1897	きっかけ	8
107	きつい	32
2517	きもと	6
2551	きり	8
1895	きる	24
1530	きれい	73
2265	きれる	17
1086	ぎく	5
1492	ぎん	34
2213	くい	14
1778	くさい	5
1677	くすぐる	6
1516	くせ	27
589	くださる	82
1771	くちる	27
763	くどい	89
1467	くどき	61
108	くる	620
247	くれる	210
1385	げん	19
2687	こい	14
2093	こいつ	14
1817	こうじる	6
1888	こく	8
502	ここ	147
2550	こだわり	16
787	こだわる	22
503	こちら	126
1446	こっち	20
279	こと	693
2640	こなす	7
1807	こなれる	10
2751	この間	5
2587	こぼれる	6
542	こまち	16
962	こむ	9
153	これ	792
980	ころ	17
2274	ころす	7
1350	ごこち	12
454	ごする	7
1076	ごたえ	24
2481	ごと	18
2278	ご存知	5
109	ご飯	14
2475	さい	6
1369	さく	12
2249	さくら	6
2201	さす	5
455	させる	155
2134	さら	5
788	さらう	27
260	さりげ	6
1199	さわやか	60
2664	さわやかさ	7
74	さん	299
2326	ざら	5
2728	ざん	25
280	しい	118
2257	しいる	10
388	しかる	11
824	しずく	32
2703	したがう	5
1846	したて	5
2121	しつこい	38
801	しなやか	15
504	しぼる	69
389	しまう	379
2589	しめる	6
2772	しょうが	6
1087	しら	7
948	しり	38
1133	しれる	178
2588	じょっぱり	6
390	じん	12
513	すい	25
1543	すき	10
314	すき焼き	5
315	すぎ	47
198	すぎる	255
614	すごい	101
2014	すすむ	22
2547	すず	19
742	すっきり	29
2532	すっぱい	6
2516	すばらしい	41
1367	すべて	20
64	せい	83
391	せる	376
2015	ぜん	5
154	そう	436
181	そこ	86
2344	そのもの	11
654	その後	52
1660	そば	10
1	それ	235
1258	それぞれ	28
751	それなり	29
316	それら	16
885	たくさん	28
2478	たたき	6
1404	ただ	25
722	たち	25
1127	たっぷり	20
369	たつ	25
505	たて	75
2396	たとえる	5
1875	たび	10
878	たま	13
1546	たまらない	26
955	たまる	22
491	ため	120
2750	たれる	6
1430	だす	12
2769	ちがう	5
951	ちゃう	37
2731	ちゃん	5
480	ちる	15
203	っぽい	94
1842	ついで	10
2708	つき	9
239	つく	57
2020	つくり	6
1673	つくる	13
1057	つけ	11
1701	つける	74
2450	つながる	5
1882	つまみ	7
75	つまむ	67
2635	つもり	11
1276	つよい	7
2296	つらい	11
2448	つられる	9
1927	つり	6
2434	づらい	9
317	てる	300
137	できる	247
1517	でる	70
771	とおり	25
1399	とがる	7
655	とき	136
1366	とく	15
521	とこ	25
415	ところ	186
35	とたん	8
144	とも	44
537	とる	41
2161	とれる	36
1791	とろける	8
806	とろみ	11
2435	とんでも	5
1246	どおり	18
155	どこ	68
2083	どころ	5
447	どちら	76
2090	どっち	5
2103	どなた	5
2114	どぶろく	15
360	どれ	63
36	ない	874
2534	なおす	5
2203	なか	29
327	なくなる	32
1990	なす	6
581	なに	13
2387	なめらか	23
782	ならでは	46
169	なる	1004
1541	なれる	27
1142	なん	41
1821	におい	20
1544	にくい	36
1490	にごり酒	51
170	にごる	92
2511	ぬく	6
265	ぬる	179
211	ぬるい	14
370	ぬるむ	6
2401	ねる	8
1433	のど	58
1386	のどごし	19
2179	のむ	31
2789	のめる	6
431	のる	16
2753	はじける	6
1595	はじめ	10
1110	はず	34
2583	はずれ	11
1768	はまる	17
1857	はるか	7
927	ひく	24
1351	ひと	27
2556	ひとつ	27
789	ひとめぼれ	8
2242	ひどい	5
2371	ひねる	8
2016	ひめる	6
76	ひる	81
2359	ひろがる	12
1689	びじん	5
1395	びっくり	40
1966	ぴったり	10
2135	ふう	5
2667	ふく	6
2360	ふくむ	7
336	ふくよか	71
1944	ふくらむ	38
2706	ふさわしい	6
1519	ふむ	6
1654	ふる	25
1138	ふるさと	13
981	ぶり	23
1955	ぶる	8
2444	ぶん	5
1719	べたつく	8
712	ほう	116
1503	ほか	13
676	ほしい	41
1121	ほどよい	24
1042	ほのか	146
833	ほる	42
1763	ほろ苦い	9
2495	ほん	6
2656	ほんとう	8
2055	ぼる	8
737	ぽい	20
2718	まいる	5
2342	まくる	5
2245	まずい	22
1143	まつ	11
306	まとまり	26
1504	まとまる	28
930	まとめる	13
2297	まとわりつく	5
527	まま	35
2439	まるい	8
834	まれ	22
212	まろやか	203
120	みずみずしい	20
89	みたい	175
2145	みどり	7
1804	みな	6
77	みる	701
2308	みんな	25
1665	むぅ	6
2705	むす	6
2563	むすぶ	9
219	むろ	7
1890	もたつき	5
855	もたつく	5
2120	もち	6
2356	もったいない	12
1355	もってこい	15
1374	もつ	30
1144	もと	59
37	もの	420
599	ものすごい	17
1067	もらう	108
2049	もらえる	9
575	もん	37
481	やさしい	45
2	やすい	505
1707	やってくる	11
1321	やつ	14
853	やまと	5
2595	やみ	6
2332	やめる	5
522	やる	90
1560	やわらかい	42
1961	ゆう	11
2580	ゆえ	11
1470	ゆき	9
1493	ゆく	20
1017	ゆり	11
562	よい	364
3	よう	1380
870	よる	13
2538	よろしい	18
1873	らい	6
4	られる	491
971	りんご	20
2746	るみ子	10
2729	れい	28
38	れる	839
2240	ろ過	9
156	わかる	92
182	わけ	70
2616	わたくし	6
2567	わたし	11
392	わり	32
456	アイデンティティ	10
1434	アウトライン	7
2363	アウトレット	6
515	アクセント	30
48	アタック	34
2147	アッサリ	6
110	アテ	131
5	アミノ酸	41
1650	アリ	10
204	アル	75
6	アルコール	689
2503	アンテナショップ	7
1987	イイ	22
2238	イオン	6
1113	イカ	14
49	イケ	29
1216	イソアミル	10
843	イタリアン	12
2350	イチ	6
764	イチゴ	42
2168	イベント	7
956	イマイチ	16
220	イメージ	130
1920	イヤ	8
266	インパクト	73
1525	ウェット	6
2431	ウケ	5
2647	ウケる	5
1785	ウマ	5
637	ウマイ	7
1368	エグ	16
78	エステル	10
183	エッジ	10
1913	エビ	6
432	エレガント	9
1553	オイリー	6
828	オススメ	63
1685	オヤジ	6
111	オリ	53
2337	オリジナル	9
1497	オレンジ	8
2186	オンザロック	7
406	オーク	5
1991	オーソドックス	5
2050	オーラ	5
829	オールマイティー	5
2696	カカオ	7
205	カキ	6
2501	カクテル	9
776	カッコ	5
2492	カップ	24
1261	カツ	6
1526	カツオ	22
2096	カニ	5
1900	カプロン	10
7	カラメル	13
2304	カレー	5
50	ガス	114
1316	ガッツリ	14
307	キツ	8
1867	キノコ	6
2046	キムチ	8
1613	キャッチ	5
39	キャップ	8
1950	キャラメル	10
488	キュッ	51
2002	キリ	9
1093	キリリ	5
51	キレ	529
1716	キレイ	23
221	キン	22
2191	キープ	5
2613	クイクイ	6
1837	クォリティ	12
1522	クオリティ	8
696	クオリティー	6
886	クセ	83
2546	クド	7
1996	クラス	64
669	クリア	82
2311	クリーミー	11
2269	クリーム	7
2351	クルミ	8
752	クール	6
2199	ググッ	5
2317	グッド	20
1468	グビ	5
523	グビグビ	12
145	グラス	77
2127	グリーン	5
1078	グレード	16
121	グレープフルーツ	35
2536	ゲット	9
1280	コイツ	7
206	コク	303
1880	コシヒカリ	10
157	コス	42
2386	コスト	15
966	コストパフォーマンス	98
638	コスパ	18
1720	コッテリ	6
2604	コップ	9
1614	コピー	6
1259	コメ	9
723	コメント	28
1209	コラボ	10
1743	コレ	35
393	コンセプト	11
2432	コンテスト	5
642	コントラスト	10
158	コンビニ	26
2658	コーナー	7
2174	ゴクゴク	5
2606	サイズ	5
2573	サイダー	8
2488	サイト	23
122	サクッ	6
1759	ササニシキ	6
222	サッパリ	38
2192	サバケ	8
1853	サラ	6
1305	サラダ	6
1094	サラッ	21
2229	シェリー	5
2373	シビ	6
1027	シャンパン	19
184	シャープ	101
1426	シュッ	17
376	シュワ	14
815	シュワシュワ	19
767	シュワッ	13
1269	ショップ	8
590	シリーズ	51
600	シンプル	11
563	ジャケ	9
1868	ジャンル	7
627	ジュワッ	14
448	ジューシー	102
281	ジュース	28
1391	ジワ	5
656	ジンジャー	7
1563	スる	9
2188	スイカ	5
318	スゥ	7
1672	スゥッ	5
2675	スカッ	8
871	スキー	10
2109	ススメ	6
558	スタイリッシュ	9
973	スタンダード	12
90	スッ	147
2423	ストック	6
1501	ストライク	10
2100	ストレート	13
1005	ストロベリー	10
407	スパイシー	9
2305	スパイス	6
524	スパッ	20
2276	スパーク	12
337	スペック	160
1021	スマート	7
856	スムース	27
1942	スムーズ	10
2167	スモーキー	5
670	スリム	15
1008	スルッ	8
1828	スルリ	9
1156	スー	16
159	スーパー	78
2281	ズバッ	5
131	セクシー	10
1210	セット	13
2111	セミ	8
1705	セメ	8
1656	セメダイン	17
1270	セレクト	26
2367	センス	7
1043	ソガペールエフィス	18
2000	ソフト	15
1375	ソリッド	11
1151	ソース	6
2681	ソーダ	5
1925	タイト	15
1095	タイトル	8
697	タイプ	88
1624	タイミング	11
844	タコ	5
1527	タタキ	14
362	タッチ	115
1596	タレ	6
608	タン	5
1554	タンク	8
1173	ダメ	20
1464	ダレ	17
1780	ダントツ	8
371	チビチビ	10
643	チャレンジ	11
1442	チョイ	17
91	チョイス	15
1586	チョコ	13
2214	チョコレート	8
1190	チリ	24
79	チーズ	29
1781	ツマミ	6
2742	ツーン	5
897	テイスト	20
1808	テクスチャー	8
1936	テレビ	8
2566	テーマ	5
551	デザイン	31
1916	デザート	8
2194	デパート	12
2472	デリケート	6
1289	データ	7
2008	トップ	8
2781	トヨニシキ	5
295	トライ	5
319	トロ	17
2110	トロッ	11
1460	トロピカル	10
1320	トーン	7
489	ドライ	205
2571	ナイト	6
1452	ナシ	23
457	ナチュラル	6
618	ナッツ	18
671	ニュアンス	17
8	ヌル	8
879	ネット	43
1482	ネーミング	18
1631	ノド	6
2273	ノーマル	5
1472	ハズレ	14
777	ハチミツ	10
1443	ハマる	26
1108	ハム	6
1427	ハレ	7
1193	ハーモニー	6
1064	バター	16
2189	バック	5
363	バナナ	79
408	バニラ	13
171	バランス	484
2335	バー	5
889	バージョン	22
172	パイナップル	64
2259	パイン	11
1747	パスタ	6
138	パック	24
2598	パフォーマンス	8
2774	パフォーマー	5
2204	パワフル	15
1567	パン	5
814	パンチ	37
2465	パーティー	5
92	ヒケ	221
2655	ヒット	16
2362	ヒネ	10
1838	ビギナー	20
1444	ビター	10
1626	ビターチョコ	5
836	ビックリ	30
1477	ビリッ	9
646	ビン	29
1396	ビール	19
1179	ピチピチ	5
2468	ピュア	5
1217	ピリ	17
458	ピリリ	33
623	ピンク	10
809	ファン	48
1811	ファースト	6
993	フィニッシュ	9
2115	フェードアウト	8
207	フライ	12
1932	フル	8
416	フルーツ	68
409	フルーティ	155
65	フルーティー	228
123	フレッシュ	314
898	フレンチ	8
93	フレーバー	18
1528	フローラル	5
346	ブドウ	10
338	ブランド	40
1911	ブルー	12
988	ブレンド	25
1657	ブワッ	10
2017	ブーム	10
784	プチプチ	9
1883	プラス	13
2666	プレゼント	10
1702	プレミア	33
139	プレミアム	13
1262	ベスト	39
1265	ベタ	12
2144	ベタつく	7
339	ベリー	21
634	ベース	13
2452	ページ	6
1603	ホタテ	6
569	ホッコリ	6
1415	ホテル	10
849	ホント	14
1737	ホンワカ	6
1145	ホームページ	10
1697	ボディ	27
2148	ボディー	13
9	ボトル	42
185	ボリュウム	14
394	ボリューム	62
1928	ポイント	7
395	ポテンシャル	14
2586	ポン	5
609	ポン酢	7
1679	マイナス	10
257	マイルド	36
1047	マグロ	8
1870	マジ	5
459	マスカット	72
2438	マスクメロン	6
2255	マッタリ	7
647	マッチ	26
785	マッチング	9
2277	マリアージュ	5
1627	マンゴー	7
1211	ミクスチャー	5
460	ミックス	5
2116	ミディアムボディ	7
601	ミネラル	25
1933	ミルキー	15
591	ミント	10
2391	ムーン	6
1356	メイン	9
2149	メジャー	11
1254	メリハリ	17
461	メロン	123
772	メーカー	18
1609	モダン	8
564	モト	14
1929	モノ	11
2485	モンドセレクション	6
1335	ヤバ	6
2631	ヤバイ	5
724	ヨーグルト	30
52	ライチ	27
845	ライト	36
1044	ライム	21
2505	ラインナップ	6
10	ラベル	322
1449	ラムネ	36
1862	ランキング	14
1538	ランク	30
1764	ラーメン	6
908	リキュール	11
433	リッチ	5
2137	リピート	13
1795	リリース	5
1114	リング	16
132	リンゴ	137
942	リーズナブル	21
1128	レア	5
1450	レギュラー	19
1947	レストラン	5
615	レベル	104
899	レモン	35
